,Actual Values,Lasso Predicted Values,Random Forest Predicted Values,Linear Regression Predicted Values,Lasso Absolute Error,Random Forest Absolute Error,Linear Regression Absolute Error,Lasso Accuracy (%),Random Forest Accuracy (%),Linear Regression Accuracy (%)
0,23623.474609375,23152.108034973953,23703.94904296875,23392.70808346884,471.3665744010468,80.47443359375029,230.7665259061614,98.0046687365203,99.65934548188007,99.02314740010947
1,17196.5546875,16737.890698875315,17228.226796875,16634.987560646015,458.66398862468486,31.6721093749984,561.5671268539845,97.33281464246973,99.81582293691642,96.73442071938874
2,44167.33203125,44912.90855480142,43527.0784765625,44608.57796377828,745.5765235514191,640.2535546875006,441.24593252828345,98.31192764139819,98.55039114829373,99.00096765587723
3,28245.98828125,28615.653343957754,28332.18767578125,28189.287762563596,369.66506270775426,86.19939453124971,56.70051868640439,98.69126525499148,99.69482606282723,99.79926169294617
4,16625.080078125,17144.65789834477,16825.6437890625,17075.376956837048,519.5778202197689,200.5637109374984,450.29687871204806,96.87473493193323,98.7936075495877,97.2914603923951
5,19446.42578125,18434.691688481307,19693.260234375,18525.51874128957,1011.7340927686928,246.83445312500044,920.9070399604316,94.79732623285358,98.73069500842158,95.26438919768815
6,25895.677734375,29470.21140834276,26029.55943359375,29474.752191226085,3574.5336739677587,133.88169921874942,3579.0744568510854,86.19640810086706,99.48299596329534,86.17887319434752
7,23164.62890625,17774.76734876843,22334.61603515625,17778.257172015066,5389.86155748157,830.0128710937497,5386.371734234934,76.73236390146815,96.41689545533879,76.7474292118634
8,20710.59765625,28124.394543011953,20649.52759765625,28343.79444672978,7413.796886761953,61.0700585937484,7633.196790479778,64.20288294034512,99.70512652697244,63.14352237837883
9,25124.67578125,28173.858931443687,26526.87630859375,27988.217469729883,3049.1831501936867,1402.2005273437499,2863.5416884798833,87.86379105250295,94.41903036062187,88.60267207660095
10,34667.78125,31046.952225848763,34877.30625,31019.63199480514,3620.829024151237,209.52500000000146,3648.1492551948613,89.55563669321573,99.39562039321451,89.47683086815698
11,17364.865234375,16920.822998669555,16972.49310546875,17075.98850316192,444.0422357054449,392.3721289062487,288.87673121308035,97.44286966980641,97.7404251423183,98.33642975448362
12,22465.478515625,17115.17783398419,22358.5219140625,17137.04835550066,5350.300681640809,106.95660156249869,5328.430160124339,76.18434578226494,99.52390686230828,76.28169746565445
13,43739.54296875,42839.089671706926,43227.436796875,42832.48539168809,900.4532970430737,512.1061718749988,907.0575770619107,97.94132897619345,98.82919176306694,97.92622987005154
14,18837.66796875,21555.535144980466,20061.19146484375,21746.054153631834,2717.8671762304657,1223.5234960937487,2908.386184881834,85.57216752764108,93.50490995953712,84.56079494708906
15,26579.390625,29392.254232710842,26534.965234375,29440.427369850542,2812.863607710842,44.425390625001455,2861.036744850542,89.417125293064,99.83285775339328,89.23588284917446
16,19242.255859375,24964.34122593877,19864.80302734375,24823.1640071157,5722.08536656377,622.5471679687507,5580.908147740702,70.26291819222476,96.76468719406701,70.99660149762725
17,21680.5390625,19498.161352038784,20851.62888671875,19599.375237402906,2182.3777104612163,828.9101757812496,2081.1638250970936,89.93393243512108,96.17670864459738,90.40077454210166
18,16757.9765625,16638.154691279622,16882.73193359375,16694.155787166368,119.82187122037794,124.75537109375,63.8207753336319,99.28498604367005,99.25554633264663,99.61916180574899
19,19784.7265625,26326.5617857087,20580.67388671875,26331.65217004183,6541.835223208702,795.9473242187487,6546.925607541831,66.9349222363876,95.9769607039837,66.90919337772965
20,27307.4375,24621.47988982804,27710.479296875,24604.967114401043,2685.9576101719613,403.0417968750007,2702.4703855989574,90.16400711281693,98.52405852114465,90.10353723010826
21,19297.638671875,18710.210064077888,19665.49583984375,18795.266137017337,587.4286077971119,367.8571679687484,502.3725348576627,96.95595602246793,98.0937710865896,97.39671498985088
22,30477.251953125,28457.904348696422,30284.4699609375,28384.326389946214,2019.347604428578,192.7819921875016,2092.9255631787855,93.37424644605622,99.3674561194559,93.13282717747069
23,27415.912109375,30211.098946714916,27769.44046875,30137.424745202516,2795.1868373399157,353.5283593749991,2721.5126358275156,89.80450905230292,98.71049936998409,90.07323694002913
24,16439.6796875,16663.312469460536,16943.66392578125,16827.97927456096,223.6327819605358,503.9842382812494,388.2995870609593,98.63967676857733,96.93434271310981,97.6380343507775
25,20260.01953125,21014.33830358451,21095.1160546875,21041.890458803136,754.3187723345109,835.0965234374999,781.8709275531364,96.27681122828626,95.87810602971331,96.14081849058861
26,30620.76953125,28052.177667696487,30727.41490234375,27935.719831705792,2568.5918635535127,106.64537109374942,2685.049699544208,91.61160250746755,99.65172210651038,91.23127948563153
27,27767.236328125,24315.49190371925,27191.1290234375,24363.45937549638,3451.7444244057515,576.107304687499,3403.776952628621,87.56900260574534,97.92522634273124,87.74175106083212
28,30145.888671875,31949.41134934344,29880.744296875,32018.64116024367,1803.5226774684415,265.14437499999985,1872.752488368671,94.0173510985229,99.12046256825937,93.78770183638382
29,22846.5078125,18533.73204005476,22159.34490234375,18578.78504037986,4312.7757724452385,687.1629101562503,4267.722772120142,81.12282276206085,96.99226281847643,81.3200213916932
30,27268.130859375,23404.071619379407,27502.694765625,23530.16184566151,3864.059239995593,234.5639062500013,3737.9690137134894,85.82939454147771,99.1397873676796,86.2918033033117
31,21592.20703125,17582.90722607843,20685.27115234375,17171.22738768955,4009.2998051715695,906.9358789062499,4420.979643560451,81.43172766281378,95.7997073777884,79.52511460657055
32,28333.97265625,24261.754333431876,27305.8812890625,24367.968185061145,4072.218322818124,1028.0913671874987,3966.004471188855,85.6277890424241,96.3715241076132,86.002653001382
33,19329.833984375,20941.16357179085,20223.89916015625,21012.102472646853,1611.3295874158503,894.0651757812484,1682.2684882718531,91.66402779910916,95.37468776760342,91.2970360240461
34,28422.701171875,28778.112046665254,28348.5724609375,28582.798333774994,355.41087479025373,74.12871093750073,160.0971618999938,98.74955278655239,99.73919188577737,99.43672784324097
35,67234.171875,65214.721629509804,67310.8858203125,65692.13841111204,2019.4502454901958,76.71394531249825,1542.0334638879576,96.99639307040964,99.88590036409592,97.70647362660335
36,16521.841796875,21750.874509161345,16752.661513671876,22493.40144662146,5229.0327122863455,230.81971679687558,5971.559649746461,68.35078814714602,98.60294197441999,63.856574084398126
37,44318.22265625,46937.71944713179,44954.9258984375,47329.86813374982,2619.4967908817925,636.7032421874974,3011.64547749982,94.08934602093666,98.56333759788603,93.20449851777822
38,31370.671875,25480.54617419625,29412.40560546875,25283.480536746712,5890.12570080375,1958.2662695312501,6087.1913382532875,81.22410089183418,93.757652761362,80.59591658569383
39,20836.328125,19021.92989844698,20790.34884765625,19052.984140798268,1814.3982265530212,45.979277343751164,1783.3439842017324,91.29214026738207,99.77933118989145,91.44117920632078
