,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
0,1.0,0.4145310102889607,0.42375304047249324,0.4268280477695391,0.424808149466541,0.22576136008586234,0.17183595849118646,0.17565877598008148,0.17693346186157183,0.17609615137734907,0.09358508468060237,0.1795666393096825,0.18086968300128078,0.1800137449539401,0.09566706275758954,0.18218218236275593,0.18132003311339426,0.09636128058724457,0.18046196385318702,0.09590526559912459,0.0509681917078184
1,1.0,0.4248256977017601,0.4378836635069639,0.4326487653779335,0.4429515270023304,0.1967242486425392,0.18047687342778726,0.18602423286154868,0.18380031361148572,0.18817719150682505,0.08357351618442126,0.19174210276627998,0.1894498263954544,0.1939612373997843,0.08614233469624993,0.18718495418305015,0.19164243127982863,0.0851125032950962,0.19620605527369625,0.08713930633459888,0.03870043000397159
2,1.0,0.44291821728735464,0.4382563050861788,0.43234375083227194,0.421462937815023,0.16725860407419585,0.1961765472050083,0.19411170136371333,0.19149292337395815,0.1866736130697212,0.0740818827425143,0.19206858894778983,0.18947737476685103,0.1847087898575779,0.07330213781542916,0.18692111888371765,0.18221686737173562,0.07231321224440776,0.17763100795166992,0.07049330264795035,0.027975440636848606
3,1.0,0.42161143290270814,0.42375541831301694,0.43541338021436804,0.43224810416332005,0.14451430690688846,0.17775620035427478,0.17866012911523757,0.1835752591371914,0.1822407425657764,0.06092888400995498,0.17956865454963997,0.18450877907182422,0.1831674761947362,0.061238720575544234,0.1895848116697018,0.18820660812500342,0.0629234628596649,0.18683842355278438,0.06246603518497872,0.02088438490077835
4,1.0,0.43230855960345377,0.4240329462712837,0.4392098020685481,0.4299969874551155,0.10119520558007261,0.18689069070641293,0.18331307222694734,0.18987415689597206,0.18589137828054536,0.04374755356309658,0.17980393952350535,0.1862394264023538,0.18233288947836884,0.042910101170646434,0.19290525023309318,0.18885889175023324,0.04444592621310973,0.18489740922047476,0.04351363354433232,0.010240469632393159
5,1.0,0.4299604630499308,0.4229380526175685,0.4310007616953314,0.41764833161685033,0.1210302988941,0.1848659997861109,0.18184664094488576,0.18531328707339756,0.17957227005401202,0.05203824335557876,0.17887659635194114,0.18228662282811217,0.17663937205300714,0.05118831892199291,0.18576165658195587,0.18000674904764685,0.05216415101157072,0.17443012890233858,0.05054810240820959,0.014648333250395183
6,1.0,0.4178032241638648,0.4301661443032266,0.4144097085457058,0.4370084534480856,0.24963651715126522,0.17455953412172065,0.1797248020160264,0.1731417123552034,0.18258354083747438,0.10429894173483654,0.18504291170470435,0.17826502648693016,0.18798624144767906,0.10738517806024606,0.17173540653693684,0.18110054582543078,0.10345179631502091,0.1909763883850876,0.10909326828444091,0.062318390695413936
7,1.0,0.43712310517600467,0.4421083387962805,0.4489022139626575,0.44881612951471617,0.17571534911263745,0.19107660907871243,0.19325576987883522,0.1962255296877401,0.1961879001865486,0.07680923903120179,0.19545978323320673,0.19846341209700297,0.19842535344472742,0.07768522109719662,0.20151319770057555,0.20147455420130692,0.07887900924388423,0.20143591811257047,0.07886388288506105,0.030875883913776058
8,1.0,0.4488788592294914,0.44999291828138316,0.45504672918156575,0.44657564832565144,0.19785415936086267,0.20149223026316954,0.201992307819497,0.20426085669113253,0.20045836758008895,0.08881254934771403,0.20249362650339559,0.204767805618811,0.20095587922346056,0.08903297056490443,0.20706752573884124,0.20321278810272486,0.09003288807212882,0.19942980967747592,0.08835684949050401,0.03914626837639364
9,1.0,0.4466059601238092,0.46333763105361897,0.4389478904515589,0.4317925494268282,0.26430821656477016,0.19945688361810945,0.20692934757819278,0.19603674405943908,0.19284112611107596,0.11804162482752087,0.21468176035037953,0.20338107571780875,0.20006573695802926,0.1224639429311275,0.19267525053187376,0.18953442868360673,0.11601753409011964,0.1864448057405199,0.11412631866496033,0.06985883334364944
10,1.0,0.43184687590737175,0.42653878255346483,0.42551989140585067,0.4180561628700221,0.199545011182582,0.18649172423095695,0.18419944069904756,0.1837594357400607,0.18053624788924244,0.0861728896820996,0.18193533302219195,0.18150073643253412,0.17831716674955225,0.08511368613443605,0.18106717798204694,0.17789121302599845,0.08491037148899155,0.17477095531360645,0.08342102169484589,0.039818211487856775
11,1.0,0.41810899075821323,0.4118963123616915,0.4261798918600084,0.4136302188505203,0.09507940813628968,0.17481512815285163,0.1722175514585766,0.17818964446703256,0.1729425133506899,0.039753555377752325,0.16965857213716012,0.1755419258598419,0.17037276182588873,0.03916285759286992,0.18162930022580842,0.17628088193974634,0.040520931877637535,0.17108995794632934,0.03932771639559144,0.009040093851547148
12,1.0,0.41356516963296625,0.41033216886519824,0.42405081744178574,0.4133258793797482,0.11114799994016178,0.17103614953354415,0.16969909302259867,0.17537264824831011,0.1709371874193805,0.04596694144961793,0.16837248880561756,0.1740016916299482,0.1696009045340074,0.04560759988047551,0.1798190957730467,0.17527117702082715,0.04713240023164515,0.17083828256504213,0.045940344816567565,0.012353877890698204
13,1.0,0.41346447459175045,0.4215645439927757,0.407989825185735,0.4305873269437839,0.2649499845158395,0.17095287174943224,0.17430196268848389,0.16868929870920005,0.17803256290067787,0.109547406140934,0.17771666475183692,0.17199404460811665,0.18152035013212448,0.11169351940331287,0.16645569745508662,0.1756752482469873,0.10809689786558056,0.18540544612459303,0.11408410560647227,0.0701984942949436
