Date,Open,High,Low,Close,Adj Close,Volume
2024-03-18,3642.298828125,3642.4970703125,3456.09130859375,3517.985107421875,3517.985107421875,21162220224
2024-03-19,3518.34765625,3546.582275390625,3149.286865234375,3157.6181640625,3157.6181640625,34166976701
2024-03-20,3158.396728515625,3534.826416015625,3059.65478515625,3513.39306640625,3513.39306640625,36605316331
2024-03-21,3514.017578125,3586.905029296875,3412.22265625,3492.9912109375,3492.9912109375,22213647922
2024-03-22,3492.89794921875,3541.898193359375,3254.96923828125,3333.68798828125,3333.68798828125,20574952329
2024-03-23,3335.592529296875,3433.758056640625,3273.115478515625,3336.593994140625,3336.593994140625,13242137554
2024-03-24,3336.666015625,3470.344482421875,3301.27734375,3454.636474609375,3454.636474609375,12156660941
2024-03-25,3454.8857421875,3657.118896484375,3421.79052734375,3590.8837890625,3590.8837890625,18603921705
2024-03-26,3591.085205078125,3678.789794921875,3545.4287109375,3587.5048828125,3587.5048828125,18505553577
2024-03-27,3587.313720703125,3664.383056640625,3460.3935546875,3500.115234375,3500.115234375,18753082145
2024-03-28,3500.216064453125,3609.705322265625,3465.332275390625,3561.2939453125,3561.2939453125,16419674157
2024-03-29,3561.01171875,3583.701416015625,3475.7255859375,3511.80615234375,3511.80615234375,12712701619
2024-03-30,3511.82763671875,3566.08447265625,3489.902099609375,3507.9443359375,3507.9443359375,9389066783
2024-03-31,3507.95166015625,3655.218994140625,3507.24267578125,3647.8564453125,3647.8564453125,10499881424
2024-04-01,3647.819580078125,3648.129150390625,3418.6953125,3505.030029296875,3505.030029296875,16002098681
2024-04-02,3504.818359375,3506.962890625,3215.985107421875,3277.234619140625,3277.234619140625,22076539151
2024-04-03,3277.32421875,3368.111572265625,3205.649169921875,3311.44189453125,3311.44189453125,16010734587
2024-04-04,3311.495361328125,3443.20751953125,3253.3193359375,3330.04052734375,3330.04052734375,14476330517
2024-04-05,3330.005859375,3345.66650390625,3214.244140625,3318.88525390625,3318.88525390625,15214447092
2024-04-06,3318.86474609375,3397.592529296875,3308.9833984375,3354.183837890625,3354.183837890625,8956926798
2024-04-07,3354.2138671875,3458.50830078125,3346.11474609375,3453.49462890625,3453.49462890625,9931108526
2024-04-08,3453.498779296875,3727.616455078125,3409.51171875,3695.292724609375,3695.292724609375,19055143129
2024-04-09,3695.341796875,3724.92236328125,3455.107666015625,3505.163330078125,3505.163330078125,18279773833
2024-04-10,3505.156005859375,3561.516357421875,3415.180419921875,3543.737060546875,3543.737060546875,16872482726
