,Actual Values,Lasso Predicted Values,Random Forest Predicted Values,Linear Regression Predicted Values,Lasso Absolute Error,Random Forest Absolute Error,Linear Regression Absolute Error,Lasso Accuracy (%),Random Forest Accuracy (%),Linear Regression Accuracy (%)
0,24565.6015625,23132.74865202924,23614.52291015625,23171.647093386393,1432.8529104707595,951.0786523437491,1393.954469113607,94.16723866164936,96.12841293577115,94.32558382269981
1,17446.29296875,17148.0270294037,17263.3059765625,17139.743454544183,298.2659393463,182.9869921874997,306.5495142058171,98.29037641474577,98.95114112484946,98.24289598509601
2,44957.96875,45150.759984107055,43515.948515625,45271.991289046535,192.79123410705506,1442.0202343749988,314.0225390465348,99.5711745003892,96.79251470992003,99.30151973548286
3,27276.91015625,28767.027132374624,28725.0549609375,28805.27290325444,1490.1169761246238,1448.1448046875012,1528.3627470044412,94.53707561601074,94.69094997786732,94.3968626275867
4,16688.470703125,17278.730873074783,16688.08546875,17406.833549448736,590.2601699497827,0.38523437500043656,718.3628463237364,96.463066146383,99.99769161367837,95.69545431032684
5,19141.484375,18542.109773150343,19310.00685546875,19062.212965226743,599.3746018496568,168.52248046874956,79.27140977325689,96.8687140970505,99.11959554877129,99.58586592230647
6,25832.2265625,29551.13104586378,25991.12630859375,29608.921933731614,3718.9044833637818,158.89974609374985,3776.6953712316135,85.60362392933476,99.38487785515005,85.37990768200311
7,22714.978515625,17506.789297828604,22458.305078125,16837.576059263727,5208.189217796396,256.67343750000146,5877.402456361273,77.07156441194154,98.87002562065624,74.12543246598992
8,19987.029296875,26853.650179094562,20539.642109375,26242.46754422968,6866.620882219562,552.6128124999996,6255.438247354679,65.64461491386733,97.23514283042353,68.70251124146435
9,25576.39453125,28268.917711359663,26166.6241796875,28341.695971735822,2692.5231801096634,590.2296484375001,2765.3014404858222,89.47262415419867,97.69228752036828,89.18807169201627
10,35437.25390625,30824.556595516016,34739.1981640625,30654.81781224292,4612.697310733984,698.0557421874983,4782.43609400708,86.98347980648565,98.0301641204078,86.50449578666813
11,16647.484375,16540.769362717805,17079.21310546875,16628.02777640764,106.71501228219495,431.72873046874884,19.456598592358205,99.35897214330802,97.4066428251641,99.88312589365408
12,22609.1640625,16967.794258867772,22293.7106640625,16828.418510847783,5641.369803632228,315.45339843750116,5780.745551652217,75.04830435996033,98.60475425997409,74.43184747710211
13,43016.1171875,43288.56371326413,43505.0533203125,43502.12445313411,272.4465257641277,488.93613281250146,486.00726563410717,99.36664082307433,98.8633652575352,98.87017402450415
