Actual Values,Predicted Values,Absolute Error,Accuracy (%)
1214.6566162109375,1216.3961511230468,1.7395349121093204,99.85678792764199
1198.9259033203125,1215.4795422363281,16.553638916015643,98.619294247445
1961.28076171875,2015.5854943847655,54.304732666015525,97.23115967249757
1567.398681640625,1580.6198498535157,13.221168212890689,99.1564897707422
1200.80859375,1199.4041015625,1.4044921874999545,99.88303779679708
1696.45703125,1650.5828625488282,45.87416870117181,97.29588384166911
1872.159912109375,1856.74478515625,15.415126953125082,99.1766126999399
1859.2896728515625,1806.4386352539063,52.85103759765616,97.1574608104718
2636.093017578125,2741.7479345703123,105.65491699218728,95.99198828388627
1876.92431640625,1865.3792541503906,11.54506225585942,99.38489463027658
1635.2216796875,1618.4167456054688,16.804934082031195,98.97231462310097
1572.7144775390625,1573.0457446289063,0.3312670898437773,99.97893660326939
1793.572265625,1783.9494409179688,9.622824707031214,99.46348274382588
1889.3223876953125,1949.1014233398437,59.77903564453118,96.83595367133438
1549.2974853515625,1534.6902893066406,14.60719604492192,99.05717293269812
1854.297607421875,1847.0478442382812,7.249763183593814,99.60902914642307
1916.6561279296875,2047.5030395507813,130.8469116210938,93.17316707392732
1636.232666015625,1569.3340270996093,66.89863891601567,95.91142260477417
1531.541748046875,1587.5455615234375,56.00381347656253,96.34330480719952
2022.7259521484373,2040.2017858886718,17.47583374023452,99.13602563304867
1631.6458740234375,1607.4037438964845,24.242130126953043,98.51425296917064
1703.0250244140625,1762.4117163085937,59.38669189453117,96.51287027241636
1824.1214599609373,1837.511064453125,13.3896044921878,99.2659696853479
1667.26904296875,1674.169237060547,6.900194091796948,99.58613793491239
1645.0933837890625,1542.8361572265626,102.25722656249991,93.7841080895374
1038.191650390625,1197.8517639160157,159.66011352539067,84.62132560348392
1801.728515625,1850.1399890136718,48.411473388671766,97.31305393854643
1664.74560546875,1600.2430102539063,64.50259521484372,96.12537825581576
1907.256591796875,1881.3285620117188,25.92802978515624,98.6405589108108
1127.656494140625,1207.544087524414,79.88759338378895,92.91560915944794
1539.9267578125,1600.11357421875,60.186816406250045,96.0915792844754
1944.827880859375,1953.5626159667968,8.734735107421784,99.55087361748629
1616.2470703125,1611.838349609375,4.408720703125027,99.7272248294147
1445.3834228515625,1513.6537280273437,68.27030517578123,95.27666471771951
1590.29296875,1540.866728515625,49.42624023437497,96.89200410203506
2419.906494140625,2441.4952490234373,21.58875488281228,99.10786821990496
1279.57568359375,1319.5459582519532,39.97027465820315,96.876286790169
2265.692138671875,2310.1430908203124,44.45095214843741,98.0380850782978
2964.835693359375,3023.373776855469,58.538083496093805,98.0255876024696
1942.3280029296875,1866.318077392578,76.00992553710944,96.08665861674955
1817.5347900390625,1832.7948876953126,15.260097656250082,99.16039584277107
1681.4361572265625,1653.6254272460938,27.81072998046875,98.34601332551686
1335.65234375,1316.389384765625,19.262958984375018,98.55778645734323
2239.54248046875,2199.9047033691404,39.63777709960959,98.23009487673066
2857.410400390625,2791.509130859375,65.90126953124991,97.69367153131938
1860.357177734375,1854.834237060547,5.522940673828089,99.7031247149779
1332.8355712890625,1421.4228173828126,88.58724609375008,93.35347525215941
2467.018798828125,2457.85556640625,9.163232421874909,99.62857062839458
1775.07861328125,1762.7085974121094,12.370015869140616,99.30312856137259
1729.7257080078125,1656.356885986328,73.36882202148445,95.75835511481263
1874.744873046875,1865.6824133300781,9.062459716796866,99.51660304038765
2423.7451171875,2381.782072753906,41.96304443359395,98.26866925337893
1761.65966796875,1763.1171667480469,1.457498779296884,99.91726558734369
1577.6416015625,1581.8803491210938,4.238747558593786,99.73132379658372
3108.06201171875,3156.1508178710938,48.08880615234375,98.45277198553221
1872.922607421875,1808.7893115234374,64.13329589843761,96.57576369443697
1848.636474609375,1794.2518273925782,54.38464721679679,97.05812105496358
1168.401611328125,1179.071260986328,10.66964965820307,99.08681659159346
1872.11376953125,1910.8791723632812,38.765402832031214,97.92932441057054
2786.672607421875,2854.038015136719,67.36540771484397,97.58258621642791
1650.716796875,1617.7699548339845,32.94684204101554,98.00408876293088
1550.7069091796875,1501.5575915527343,49.149317626953234,96.8305217874503
1761.800048828125,1614.6073486328125,147.19270019531245,91.64532318561241
1629.304443359375,1620.829364013672,8.47507934570308,99.479834515873
2352.327880859375,2292.0888427734376,60.23903808593741,97.43917340026891
1849.4981689453125,1923.2450036621094,73.74683471679691,96.01260298847166
1640.817138671875,1647.1485339355468,6.331395263671766,99.61413157417428
1876.0596923828125,1870.1852685546876,5.874423828124918,99.68687436482026
1546.438232421875,1586.9752124023437,40.536979980468686,97.37868741663327
1663.429931640625,1744.6826513671874,81.25271972656242,95.11535062697689
1143.38671875,1187.5945208740234,44.207802124023374,96.13360891821857
2289.546142578125,2338.1811962890624,48.63505371093743,97.87577752610078
1850.75341796875,1846.000487060547,4.752930908203098,99.74318940264773
1243.3348388671875,1268.6134851074219,25.278646240234366,97.96686737554415
1552.5565185546875,1575.5730017089843,23.016483154296793,98.51751077147752
1996.4412841796875,1848.2030224609375,148.23826171874998,92.57487495908705
3019.909423828125,3031.9111767578124,12.001752929687427,99.60257904310012
1775.6767578125,1737.5988073730468,38.07795043945316,97.85558096247414
1291.337646484375,1317.9883337402343,26.65068725585934,97.93619528336257
1283.200927734375,1317.0621044921875,33.86117675781247,97.36119449215191
1842.4014892578125,1852.02439453125,9.622905273437482,99.4776977043525
1217.70361328125,1212.7247912597657,4.978822021484348,99.59113022518933
1363.447021484375,1383.3333337402344,19.886312255859366,98.54146791606107
2517.4599609375,2589.0980712890623,71.63811035156232,97.15434956411842
