Actual Values,Lasso Predicted Values,Random Forest Predicted Values,Linear Regression Predicted Values,Lasso Absolute Error,Random Forest Absolute Error,Linear Regression Absolute Error,Lasso Accuracy (%),Random Forest Accuracy (%),Linear Regression Accuracy (%)
1214.6566162109375,1436.6835413134188,1216.3961511230468,1452.2220570654786,222.0269251024813,1.7395349121093204,237.56544085454107,81.72101298924436,99.85678792764199,80.44176126125134
1198.9259033203125,1783.7395634971203,1215.4795422363281,1781.3779069693055,584.8136601768078,16.553638916015643,582.452003648993,51.22186796054523,98.619294247445,51.41884898508348
1961.28076171875,1843.806462831373,2015.5854943847655,1869.1332668243667,117.47429888737702,54.304732666015525,92.14749489438327,94.01032727285667,97.23115967249757,95.30166732407905
1567.398681640625,1622.839179922749,1580.6198498535157,1647.05219843053,55.440498282124054,13.221168212890689,79.6535167899051,96.4628974790196,99.1564897707422,94.9181074526278
1200.80859375,1667.4629875732455,1199.4041015625,1665.0540147276765,466.6543938232455,1.4044921874999545,464.24542097767653,61.13831994107133,99.88303779679708,61.338932499817766
1696.45703125,1788.2322531478603,1650.5828625488282,1778.6816933650389,91.77522189786032,45.87416870117181,82.22466211503888,94.59018293966234,97.29588384166911,95.15315386122964
1872.159912109375,1898.4343115842084,1856.74478515625,1902.763678076229,26.274399474833444,15.415126953125082,30.6037659668541,98.59657290464948,99.1766126999399,98.36532308116925
1859.2896728515625,1616.291832953282,1806.4386352539063,1628.4573110936742,242.99783989828052,52.85103759765616,230.8323617578883,86.93060885313268,97.1574608104718,87.58491669542464
2636.093017578125,2631.8206686424005,2741.7479345703123,2634.9942706111497,4.272348935724494,105.65491699218728,1.098746966975341,99.83792874882505,95.99198828388627,99.95831911242705
1876.92431640625,1893.2527087109738,1865.3792541503906,1899.741236492649,16.32839230472382,11.54506225585942,22.816920086399023,99.13004524679036,99.38489463027658,98.78434522442085
1635.2216796875,1627.916946129868,1618.4167456054688,1620.8160990711096,7.304733557632062,16.804934082031195,14.405580616390353,99.55328787231906,98.97231462310097,99.11904417637471
1572.7144775390625,1405.1305334824224,1573.0457446289063,1389.2230727862702,167.58394405664012,0.3312670898437773,183.49140475279228,89.34428680793538,99.97893660326939,88.3328215405053
1793.572265625,1535.540814862484,1783.9494409179688,1507.0277986721073,258.031450762516,9.622824707031214,286.54446695289266,85.61354589899389,99.46348274382588,84.02381256419342
1889.3223876953125,1623.4755238549483,1949.1014233398437,1608.7706456256117,265.8468638403642,59.77903564453118,280.5517420697008,85.9289835566572,96.83595367133438,85.15066862612413
1549.2974853515625,1128.545217402252,1534.6902893066406,1136.9181051723435,420.7522679493104,14.60719604492192,412.37938017921897,72.84238360111749,99.05717293269812,73.38281485136194
1854.297607421875,1867.170378472915,1847.0478442382812,1849.8152273241408,12.87277105103999,7.249763183593814,4.482380097734222,99.30578721562729,99.60902914642307,99.75827072850693
1916.6561279296875,2424.5963920299228,2047.5030395507813,2402.521554248633,507.94026410023525,130.8469116210938,485.86542631894554,73.49862311248827,93.17316707392732,74.65036011213121
1636.232666015625,1274.7321597585362,1569.3340270996093,1282.429191070341,361.5005062570888,66.89863891601567,353.80347494528405,77.90653409106082,95.91142260477417,78.37694587733495
1531.541748046875,1406.7501239852231,1587.5455615234375,1473.823115291077,124.79162406165187,56.00381347656253,57.7186327557979,91.85189537139327,96.34330480719952,96.2313379423444
2022.7259521484373,2552.0754712853495,2040.2017858886718,2650.3971009870893,529.3495191369122,17.47583374023452,627.671148838652,73.82989432776773,99.13602563304867,68.9690465397959
1631.6458740234375,1747.2773273867429,1607.4037438964845,1773.661650626986,115.63145336330535,24.242130126953043,142.0157766035486,92.91320162026504,98.51425296917064,91.29616426796366
1703.0250244140625,1717.869408055589,1762.4117163085937,1734.477475175673,14.84438364152652,59.38669189453117,31.452450761610407,99.12835199549497,96.51287027241636,98.15314218459991
1824.1214599609373,1857.1644671210443,1837.511064453125,1880.2421713632286,33.04300716010698,13.3896044921878,56.12071140229136,98.18855224910217,99.2659696853479,96.92341148141017
1667.26904296875,1830.710542350596,1674.169237060547,1817.4068141700318,163.44149938184592,6.900194091796948,150.1377712012818,90.19705307484023,99.58613793491239,90.99498837128617
1645.0933837890625,1417.1170979246795,1542.8361572265626,1379.4546214141735,227.97628586438304,102.25722656249991,265.638762374889,86.14204590992297,93.7841080895374,83.8526636242949
1038.191650390625,1078.3618477060504,1197.8517639160157,1025.1571327910451,40.17019731542541,159.66011352539067,13.034517599579885,96.1307531899037,84.62132560348392,98.7444979359374
1801.728515625,1892.616550528292,1850.1399890136718,1871.108725772239,90.88803490329201,48.411473388671766,69.38021014723904,94.95550888410267,97.31305393854643,96.14924171174746
1664.74560546875,1644.7932650956664,1600.2430102539063,1652.6235288937173,19.952340373083643,64.50259521484372,12.122076575032679,98.80147811728474,96.12537825581576,99.27183609704623
1907.256591796875,1770.3888984861446,1881.3285620117188,1810.6662047167217,136.86769331073037,25.92802978515624,96.59038708015328,92.82384478840449,98.6405589108108,94.93563752797661
1127.656494140625,1523.612612054434,1207.544087524414,1524.3360717235316,395.95611791380907,79.88759338378895,396.67957758290663,64.88681438264025,92.91560915944794,64.82265834994266
1539.9267578125,1812.79559677866,1600.11357421875,1804.0830369471942,272.86883896615996,60.186816406250045,264.15627913469416,82.28040148131615,96.0915792844754,82.84617902802508
1944.827880859375,2453.943656240085,1953.5626159667968,2441.064062646562,509.11577538071015,8.734735107421784,496.236181787187,73.82206516107001,99.55087361748629,74.48431366749475
